The center positions (in nm) in each chromosome of the 30kb segments comprising region chr21:28Mb-30Mb in HCT116 cells untreated
Chromosome index,Segment index,Z,X,Y
1,1,6782,119349,116449
1,2,6949,119913,115799
1,3,6921,120130,115761
1,4,6569,119883,116038
1,5,6975,120143,115802
1,6,6928,120134,115839
1,7,6969,120179,116013
1,8,6845,119819,116484
1,9,7066,120225,115895
1,10,6917,120748,116103
1,11,7080,120031,115879
1,12,7047,120311,116047
1,13,6988,120190,116029
1,14,7106,120044,116053
1,15,6833,120187,115834
1,16,7012,120544,116451
1,17,6843,120294,115799
1,18,6912,120475,115840
1,19,6818,120242,115825
1,20,6846,120370,115743
1,21,6921,120419,115776
1,22,7075,120451,115775
1,23,6957,120415,115654
1,24,6931,120377,115568
1,25,7009,120411,115558
1,26,7059,120449,115539
1,27,7075,120510,115560
1,28,7143,120528,115836
1,29,7333,120624,115615
1,30,8033,120645,116032
1,31,8099,120677,116003
1,32,7416,120683,115283
1,33,7276,120701,115348
1,34,7469,120771,115287
1,35,7469,120884,115547
1,36,nan,nan,nan
1,37,7366,120783,115442
1,38,7327,120982,115648
1,39,7191,121087,115592
1,40,7222,121065,115515
1,41,7269,121269,115483
1,42,7378,120885,115787
1,43,7310,120999,115596
1,44,7582,121116,115568
1,45,7416,121003,115705
1,46,7347,121178,115609
1,47,7314,121203,115667
1,48,7259,121376,115495
1,49,7246,121416,115606
1,50,7258,121382,115601
1,51,7239,121347,115776
1,52,7709,121228,115918
1,53,7418,121366,116089
1,54,7182,121447,115504
1,55,7155,121404,115662
1,56,7104,121508,115678
1,57,7049,121481,115625
1,58,7055,121543,115608
1,59,7102,121522,115650
1,60,7078,121483,115564
1,61,6979,121534,115653
1,62,7148,121564,115625
1,63,7134,121610,115694
1,64,7074,121567,115688
1,65,7163,121413,115605
2,1,nan,nan,nan
2,2,8876,96568,25146
2,3,9045,97035,24638
2,4,8421,96293,25183
2,5,8870,97128,24582
2,6,8797,97034,24633
2,7,8872,96626,24944
2,8,8719,96458,24470
2,9,8974,97009,24624
2,10,8709,97110,24919
2,11,8833,96763,24477
