The center positions (in nm) in each chromosome of the 30kb segments comprising region chr21:34.6Mb-37.1Mb in HCT116 cells after cell division in auxin treatment (EdU+ and Geminin-)
Chromosome index,Segment index,Z,X,Y
1,1,7289,76301,99573
1,2,nan,nan,nan
1,3,nan,nan,nan
1,4,6939,76531,99485
1,5,7361,76513,99361
1,6,nan,nan,nan
1,7,7408,76238,99463
1,8,7524,76321,99223
1,9,7539,76465,99122
1,10,7352,76513,98964
1,11,nan,nan,nan
1,12,nan,nan,nan
1,13,7621,76234,98880
1,14,7646,76108,98922
1,15,7530,76401,98864
1,16,7620,76364,98913
1,17,7618,76469,98949
1,18,7601,76420,98990
1,19,7629,76395,98979
1,20,7745,76489,98998
1,21,7690,76435,98942
1,22,7999,75917,99012
1,23,7889,76253,98700
1,24,nan,nan,nan
1,25,7875,76271,98542
1,26,nan,nan,nan
1,27,nan,nan,nan
1,28,7790,76122,98345
1,29,7744,76160,98361
1,30,7705,76243,98242
1,31,7703,76138,98070
1,32,7765,76195,98086
1,33,7703,76290,98183
1,34,nan,nan,nan
1,35,7747,76543,98205
1,36,7496,76481,98345
1,37,7556,76434,98330
1,38,nan,nan,nan
1,39,7775,76546,98539
1,40,7738,76649,98657
1,41,7623,76737,98681
1,42,nan,nan,nan
1,43,7703,76719,98798
1,44,7927,76901,98385
1,45,7624,76968,98975
1,46,7768,77339,98718
1,47,7640,77200,98574
1,48,7743,77201,98781
1,49,7920,77184,98736
1,50,7959,77246,98524
1,51,8078,77243,98312
1,52,7940,77191,98505
1,53,7939,77179,98214
1,54,nan,nan,nan
1,55,7872,77126,98108
1,56,nan,nan,nan
1,57,7899,77253,97996
1,58,7920,77271,98098
1,59,7805,77244,98249
1,60,7859,77161,98111
1,61,7920,77176,98067
1,62,nan,nan,nan
1,63,8112,77228,98064
1,64,8053,77251,98053
1,65,nan,nan,nan
1,66,8037,77169,98150
1,67,7966,77221,97995
1,68,nan,nan,nan
1,69,8140,77002,97775
1,70,nan,nan,nan
1,71,7930,76796,97696
1,72,7970,77396,97358
1,73,8071,76619,97672
1,74,nan,nan,nan
1,75,8085,77161,98079
1,76,nan,nan,nan
1,77,7640,77179,97657
1,78,7967,77089,97702
1,79,7932,77125,97679
1,80,nan,nan,nan
1,81,nan,nan,nan
1,82,8181,77250,97397
1,83,7964,77550,97200
2,1,nan,nan,nan
2,2,7297,79257,100099
2,3,7257,79388,100232
2,4,7127,79444,100342
2,5,nan,nan,nan
2,6,6536,79698,100380
2,7,7125,79487,100474
2,8,7110,79386,100411
2,9,6990,79811,100316
2,10,7145,79027,100149
2,11,7208,78820,100175
2,12,7267,78786,100203
2,13,nan,nan,nan
2,14,7482,78862,100362
2,15,7322,78882,100450
2,16,7312,78993,100374
2,17,7283,79057,100298
2,18,7394,79148,100320
2,19,7448,79042,100373
2,20,7477,78991,100420
2,21,7288,78886,100228
2,22,nan,nan,nan
2,23,7357,79277,100068
2,24,nan,nan,nan
2,25,7499,79169,100060
2,26,nan,nan,nan
2,27,nan,nan,nan
2,28,7570,78870,100199
2,29,nan,nan,nan
2,30,7638,78889,100314
2,31,7690,78898,100334
2,32,7623,78909,100259
2,33,7567,79081,100272
2,34,nan,nan,nan
2,35,8025,78867,99984
2,36,nan,nan,nan
2,37,7409,78968,100093
2,38,7569,78846,100018
2,39,7570,78847,99925
2,40,7585,78867,99924
2,41,7569,78868,99995
2,42,7574,78825,99950
2,43,7384,79293,100303
2,44,7442,78742,99998
2,45,nan,nan,nan
2,46,7268,78803,99938
2,47,7394,78852,99827
2,48,7252,78813,99778
2,49,nan,nan,nan
2,50,nan,nan,nan
2,51,7433,78721,100185
2,52,7250,78723,100224
2,53,7321,78558,100247
2,54,7446,78931,100231
2,55,7783,78736,99733
2,56,7295,78761,100179
2,57,7242,78614,99849
2,58,nan,nan,nan
2,59,7206,78569,99930
2,60,7303,78591,99979
2,61,7332,78548,99833
