The center positions (in nm) in each chromosome of the 30kb segments comprising region chr21:18.6Mb-20.6Mb in IMR90 cells 
Chromosome index,Segment index,Z,X,Y
1,1,1733,117803,58446
1,2,1680,117726,58747
1,3,1872,117747,58607
1,4,1950,117724,58415
1,5,1521,117235,58050
1,6,1934,117928,58829
1,7,1850,117852,58864
1,8,2069,117843,58639
1,9,1707,117550,58603
1,10,1671,117414,58435
1,11,1455,117322,59019
1,12,1863,117914,58540
1,13,1536,117460,58677
1,14,1815,118005,59004
1,15,1817,117879,58979
1,16,1713,117476,58942
1,17,1629,117758,58371
1,18,1403,117417,58624
1,19,1577,117321,58813
1,20,1564,117409,58742
1,21,1858,117946,58917
1,22,1534,117004,59196
1,23,1777,117580,58746
1,24,1736,117465,58724
1,25,1640,117529,58652
1,26,2199,117771,58517
1,27,1703,117784,58700
1,28,1872,117757,58774
1,29,1576,117708,58961
1,30,1874,117568,58765
1,31,1921,117686,58685
1,32,1974,117917,58487
1,33,1802,117920,58506
1,34,1592,117807,58670
1,35,1585,117579,58871
1,36,1590,117924,58963
1,37,1704,117495,58251
1,38,1532,117467,58847
1,39,1572,117842,59180
1,40,2078,118097,58884
1,41,1538,117417,58855
1,42,1471,117557,58966
1,43,1525,117475,58995
1,44,2077,117984,58771
1,45,1916,117819,58734
1,46,1961,117969,58695
1,47,2046,117884,58748
1,48,1988,117867,58813
1,49,2128,117849,58666
1,50,1979,117799,58502
1,51,1983,117723,58245
1,52,1862,117881,58609
1,53,1802,117784,58685
1,54,1851,117604,58738
1,55,1729,117546,58797
1,56,2033,117733,58474
1,57,1906,117649,58733
1,58,1900,117683,58742
1,59,1850,117613,58781
1,60,1906,117616,58472
1,61,1741,117523,58311
1,62,1873,117545,58617
1,63,2038,117824,58744
1,64,1893,117498,58463
1,65,1399,117514,59134
2,1,4401,86706,135606
2,2,4275,86767,135634
2,3,4252,86839,135628
2,4,4269,87061,135414
2,5,4112,86887,135525
2,6,4308,86913,135646
2,7,3931,87035,135509
2,8,4078,86794,135772
2,9,4371,86795,135657
2,10,4246,86938,135886
2,11,4283,86988,135950
2,12,4373,86847,135767
2,13,4204,87115,136027
2,14,4050,86971,135771
2,15,4232,86820,135281
2,16,4227,86856,135682
2,17,4392,86651,135332
2,18,4179,87148,135590
2,19,4322,86701,135084
2,20,4232,86702,135151
2,21,4150,86705,135179
2,22,4252,86597,135187
2,23,4253,86862,135179
2,24,4255,86504,135499
2,25,4209,86593,135821
2,26,4296,86383,134847
2,27,4352,86575,136042
2,28,4349,86523,135943
2,29,4175,86660,135996
2,30,4470,86599,136181
2,31,3973,86496,136525
2,32,4650,86542,135601
2,33,4228,86672,136082
2,34,4452,86000,135495
2,35,4408,85598,135419
2,36,4131,85730,135605
2,37,4272,85955,135991
2,38,4254,85718,136007
2,39,4284,85414,135918
2,40,4297,85581,135937
2,41,4429,85793,136020
2,42,4422,85771,136053
2,43,nan,nan,nan
2,44,4473,85669,135976
2,45,4294,85769,135914
2,46,4178,85932,135993
2,47,4287,86656,135881
2,48,4369,86298,136184
2,49,4396,86349,135982
2,50,4212,85819,136036
2,51,4361,85939,135867
2,52,4454,85630,135810
2,53,4272,85977,135874
2,54,4379,85741,135948
2,55,4403,85803,136071
2,56,4574,85133,136183
2,57,nan,nan,nan
2,58,4651,85399,135885
2,59,4310,85847,136033
2,60,4423,86082,136048
2,61,4551,86591,136286
2,62,4241,87128,135929
2,63,4447,86175,136375
2,64,4361,86631,135975
2,65,4246,86713,136027
3,1,2531,118790,72052
3,2,2644,118595,72045
3,3,nan,nan,nan
3,4,2398,118895,72159
3,5,2402,119019,72260
3,6,2441,119003,72247
3,7,2209,118701,72188
3,8,2463,118780,72336
3,9,2454,118906,72007
3,10,2747,118746,71839
3,11,2620,118818,71899
3,12,2472,118774,71905
3,13,2369,118803,71884
3,14,2365,118793,71939
3,15,2556,119014,71825
3,16,2671,118966,72065
3,17,2479,118622,71939
3,18,2337,118694,71864
3,19,2315,118320,71489
3,20,2374,118752,72163
3,21,2544,118886,71990
3,22,2402,118741,71896
3,23,2414,118985,72004
3,24,2293,119469,71831
3,25,2325,119441,71840
3,26,2560,118851,71775
3,27,2839,118552,72167
3,28,2266,118162,72496
3,29,2417,118819,71830
3,30,2389,118795,71714
3,31,2246,118722,71372
3,32,2194,118575,72027
3,33,2318,118870,71753
3,34,nan,nan,nan
3,35,2315,118874,71773
3,36,2384,118941,71770
3,37,2908,118734,71808
3,38,2747,118787,71817
3,39,2873,118780,71835
3,40,2883,118770,71930
3,41,2875,118794,71970
3,42,2808,118900,71973
3,43,2832,118762,71913
3,44,2807,118651,72026
3,45,2475,118883,71855
3,46,2704,118667,72032
3,47,2499,118662,72191
3,48,2556,118776,71817
3,49,2421,118618,72158
3,50,2715,118569,72151
3,51,3021,118637,72106
3,52,3113,118662,72058
3,53,2935,118713,71999
3,54,2958,118638,71958
3,55,2641,118521,71875
3,56,3019,118624,71964
3,57,2974,118591,71827
3,58,2867,118673,72145
3,59,3080,118635,71814
3,60,3130,118601,71937
3,61,2821,119195,71847
3,62,2663,118620,72309
3,63,2482,118729,72208
3,64,2937,118613,71664
3,65,2800,118693,71884
4,1,4795,36642,73394
4,2,4584,36885,72690
4,3,4361,36667,72726
4,4,4280,36580,72763
4,5,4428,36652,72806
4,6,4753,36660,72745
4,7,4586,37297,72865
4,8,4453,36746,72781
4,9,4358,36585,72595
4,10,4415,36714,72685
4,11,3863,36496,72332
4,12,nan,nan,nan
4,13,4507,36687,72562
4,14,4162,36614,72510
4,15,4347,36780,72661
4,16,4510,36574,72765
4,17,4337,36743,72812
4,18,4327,36778,72780
4,19,4318,36378,72833
4,20,4766,36634,72732
4,21,4712,36708,72669
4,22,nan,nan,nan
4,23,4153,36554,72997
4,24,4195,36783,72674
4,25,4218,37016,72656
4,26,4308,36788,72618
4,27,4291,36859,72854
4,28,4305,36684,72632
4,29,4459,36714,72740
4,30,4242,36912,72904
4,31,4409,36329,72918
4,32,4532,36913,72899
4,33,4193,36237,72539
4,34,4145,36928,72933
4,35,4412,36355,72707
4,36,4470,36393,72813
4,37,nan,nan,nan
4,38,4388,36535,72663
4,39,4427,36649,72662
4,40,4418,36550,72474
4,41,4529,36616,72752
4,42,4137,36144,72555
4,43,4614,36353,72807
4,44,4463,36532,72643
4,45,4442,36486,72765
4,46,4460,36504,72783
4,47,4304,36539,72434
4,48,4565,36835,72636
4,49,4419,36769,72685
4,50,4559,36977,72927
4,51,4600,37060,72708
4,52,4554,37118,72722
4,53,4813,37027,72514
4,54,4805,37078,72669
4,55,4435,36985,72624
4,56,4536,37045,72791
4,57,4280,36757,73207
4,58,4586,36960,72764
4,59,4762,36734,72851
4,60,4619,36904,72667
4,61,4299,37271,72183
4,62,nan,nan,nan
4,63,4192,37135,72658
4,64,4463,36680,72382
4,65,4348,36649,72321
5,1,1835,130795,35161
5,2,1841,130611,35330
5,3,1854,130520,35359
5,4,1884,130581,35418
5,5,1660,130435,35335
5,6,1813,130620,35269
5,7,2162,131090,35450
5,8,2023,130888,35518
5,9,1992,131232,35820
5,10,2210,130819,35068
5,11,1691,130780,35827
5,12,1757,130321,35342
5,13,1734,130311,35364
5,14,1503,130684,35549
5,15,1580,130732,35447
5,16,1715,130520,35287
5,17,1903,130388,35018
5,18,2005,130711,35287
5,19,2017,130836,35007
5,20,1553,131186,35395
5,21,2030,130888,35384
5,22,1804,130354,35449
5,23,1444,130140,35620
5,24,1742,130844,35656
5,25,1532,130650,35443
5,26,1573,130739,35437
5,27,2133,131006,35249
5,28,1916,130435,35289
5,29,1660,130419,35136
5,30,2242,131250,35532
5,31,1831,130789,35592
5,32,1828,131026,35712
5,33,1988,131028,35753
5,34,2037,130908,35604
5,35,2136,131063,35656
5,36,1989,131366,35734
5,37,2119,131067,35592
5,38,2181,131059,35661
5,39,2002,130597,35029
5,40,1645,130368,35681
5,41,1620,130294,35784
5,42,1325,131022,35730
5,43,2086,131085,35622
5,44,1829,130933,35816
5,45,1868,130534,35529
5,46,1766,130594,35652
5,47,1621,130848,35733
5,48,1649,130658,35283
5,49,1837,130496,35225
5,50,1821,130899,35760
5,51,1880,130664,35341
5,52,1938,130873,35186
5,53,1887,131090,35821
5,54,2339,131165,35639
5,55,2368,130936,35208
5,56,1618,130741,35796
5,57,1777,130853,35656
5,58,1648,130954,35788
5,59,1949,131055,35299
5,60,1807,130634,35409
5,61,1642,130553,35929
5,62,1840,130378,35437
5,63,1676,130510,36040
5,64,2047,131056,35944
5,65,1644,130464,36576
6,1,4363,147070,55221
6,2,4535,146661,54551
6,3,4142,147259,54972
6,4,4096,147190,54951
6,5,4177,147001,55140
6,6,4147,146865,55055
