The center positions (in nm) in each chromosome of the 30kb segments comprising region chr21:28Mb-30Mb in IMR90 cells across G1;S;G2 stages of cell cycle
Chromosome index,Segment index,Z,X,Y,Cell cycle
1,1,3769,42562,95000,G1
1,2,3748,42710,95067,G1
1,3,3790,42366,95260,G1
1,4,3613,42434,95268,G1
1,5,3614,42410,95277,G1
1,6,3625,42637,95012,G1
1,7,3826,42562,95085,G1
1,8,3841,42609,95193,G1
1,9,3890,42497,95004,G1
1,10,3775,42499,95209,G1
1,11,3720,42408,95339,G1
1,12,3958,42586,95458,G1
1,13,3938,42559,95256,G1
1,14,3974,42641,95311,G1
1,15,3844,42791,95432,G1
1,16,3716,42980,95840,G1
1,17,3939,42557,95598,G1
1,18,3872,42398,95436,G1
1,19,3894,42524,95183,G1
1,20,3853,42492,95122,G1
1,21,3887,42465,95034,G1
1,22,3963,42538,95005,G1
1,23,4019,42598,95096,G1
1,24,4091,42459,95454,G1
1,25,3912,42302,95515,G1
1,26,3846,42642,95230,G1
1,27,3664,42645,94859,G1
1,28,3490,42597,94692,G1
1,29,3591,42744,94828,G1
1,30,3711,42699,94836,G1
1,31,3916,42625,95031,G1
1,32,3589,42587,95047,G1
1,33,nan,nan,nan,G1
1,34,3651,42827,94806,G1
1,35,nan,nan,nan,G1
1,36,3775,42952,94652,G1
1,37,3433,43494,94746,G1
1,38,3814,43015,94989,G1
1,39,3717,43085,94987,G1
1,40,3617,42530,95225,G1
1,41,3971,43019,94872,G1
1,42,3960,43035,94825,G1
1,43,4091,42875,94986,G1
1,44,3931,42886,94962,G1
1,45,3905,42962,94965,G1
1,46,3756,42909,94794,G1
1,47,4061,43191,95073,G1
1,48,4021,43199,95056,G1
1,49,3699,43295,95282,G1
1,50,3884,43108,95035,G1
1,51,3802,43183,95135,G1
1,52,4069,43051,94978,G1
1,53,3752,43150,94704,G1
1,54,4002,43074,94986,G1
1,55,nan,nan,nan,G1
1,56,4053,43101,95379,G1
1,57,3957,43027,95157,G1
1,58,4062,42939,95197,G1
1,59,4052,43012,95308,G1
1,60,3978,43200,95190,G1
1,61,4024,43083,95141,G1
1,62,4089,43009,95196,G1
1,63,3552,42965,95053,G1
1,64,nan,nan,nan,G1
1,65,nan,nan,nan,G1
2,1,1988,39963,88599,G1
2,2,2280,40027,88649,G1
2,3,2247,39897,88700,G1
2,4,2289,39936,88643,G1
2,5,2325,40010,88674,G1
2,6,2392,39912,88561,G1
2,7,2468,39839,88616,G1
2,8,2742,39797,88290,G1
2,9,2571,39831,88667,G1
2,10,2544,39947,88602,G1
2,11,2624,40070,88620,G1
2,12,2371,39998,88953,G1
2,13,2233,39959,88995,G1
2,14,2182,39847,88897,G1
2,15,2073,39747,88859,G1
2,16,2138,39770,88778,G1
2,17,nan,nan,nan,G1
2,18,2161,39758,88745,G1
2,19,2416,39584,88678,G1
2,20,2439,39516,88681,G1
2,21,2874,40164,88801,G1
2,22,2466,39720,88725,G1
2,23,2637,39647,88432,G1
2,24,2365,39756,88656,G1
2,25,2442,39725,88668,G1
2,26,1943,40074,88840,G1
2,27,2456,39958,88824,G1
2,28,2708,39892,88942,G1
2,29,2754,39832,88922,G1
2,30,2684,39893,88858,G1
2,31,2607,39971,88846,G1
2,32,2558,39375,88707,G1
2,33,nan,nan,nan,G1
2,34,2455,39894,88929,G1
2,35,2973,39701,88871,G1
2,36,2219,40058,89041,G1
2,37,2155,40230,89185,G1
2,38,2060,40149,89177,G1
2,39,2145,40184,89295,G1
2,40,2352,40250,89132,G1
2,41,2450,40430,89193,G1
2,42,nan,nan,nan,G1
2,43,2351,40390,89234,G1
2,44,nan,nan,nan,G1
2,45,nan,nan,nan,G1
2,46,2226,40199,89154,G1
2,47,2066,40534,89429,G1
2,48,2248,40238,89449,G1
2,49,2109,40409,89431,G1
2,50,2646,40499,89540,G1
2,51,2741,40512,89393,G1
2,52,2322,40531,89641,G1
2,53,2202,40529,89453,G1
2,54,2215,40593,89555,G1
2,55,2476,40688,89737,G1
2,56,2286,40592,89751,G1
2,57,2489,40970,89141,G1
2,58,2576,40854,89498,G1
2,59,2391,40514,89318,G1
2,60,2424,40522,89328,G1
2,61,2359,40439,89495,G1
2,62,2087,40293,89411,G1
2,63,2201,40480,89407,G1
2,64,nan,nan,nan,G1
